"age_clean","gender_clean","country_of_birth_clean","fluent_languages_clean","readable_languages_clean","target_grade","assignment_preference","trimester_or_semester_clean","university_year","enrolled_unit","weekly_study_hours","assignments_on_time","used_r_before","wam_clean","team_role_type","pay_rent_clean","living_arrangements","work_status","weekly_paid_work_hours","weekly_exercise_hours","diet_style_clean","average_daily_sleep_clean","sleep_schedule","weekly_food_spend","weekly_alcohol_clean","daily_anxiety_frequency","social_media_clean","relationship_status_clean","drivers_license_clean","sibling_count_clean","allergy_count_clean","steak_preference_clean","dominant_hand","computer_os_clean","believe_in_aliens","random_number","favourite_number","favourite_letter_clean","urinal_choice","stall_choice","weetbix_count"
20,"Female","Australia",3,3,"Pass","cram at the last second","No preference","Second year","DATA2002",2,"Always","Yes",65,10,"Yes","With parent(s) and/or sibling(s)","I don't currently work",0,0.5,"vegetarian",4.5,1,10,"0",10,"Instagram","No","Yes",1,2,NA,"Right","MacOS","Yes",5,7,NA,"C: Furthest from the entrance","A: Closest to the entrance",5
19,"Male","Australia",1,2,"Fail","cram at the last second","Semester","Second year","DATA2902",10,"Always","Yes",86,6,"No","With parent(s) and/or sibling(s)","Casual",20,7,"omnivorous",8,8,20,"<5",2,"None","No","Yes",1,0,"medium-rare","Right","Linux","Yes",8,6,"j","C: Furthest from the entrance","C: Furthest from the entrance",5
21,"Male","China",2,2,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",120,"Always","Yes",75,3,"Yes","With partner","I don't currently work",0,2,"omnivorous",7,3,300,"0",10,"Tiktok","Yes","Yes",1,1,"well done","Ambidextrous","MacOS","Yes",5,5,"x","B: Middle","C: Furthest from the entrance",0
20,NA,"Australia",3,NA,"High Distinction",NA,"Semester","Second year","DATA2902",NA,"Always","Yes",90,10,"No","With parent(s) and/or sibling(s)","Contractor",NA,1,"omnivorous",7,1,35,"0",5,"Instagram","No","Yes",1,NA,NA,"Right","MacOS","Yes",7,NA,"j","C: Furthest from the entrance","C: Furthest from the entrance",NA
19,"Female","Australia",1,1,"High Distinction","cram at the last second","Semester","Second year","DATA2002",20,"Always","Yes",74,7,"No","With parent(s) and/or sibling(s)","Casual",20,8,"omnivorous",9,10,50,"<5",1,"Other","No","Yes",1,0,"medium-rare","Right","Windows","No",4,5,"a","C: Furthest from the entrance","B: Middle",0
18,"Female","India",2,3,"Distinction","do them immediately","Semester",NA,"DATA2002",28,"Usually","Yes",77,7,"Yes","College or student accomodation","I don't currently work",0,6,"vegetarian",6,4,150,"0",4,"Other","No","No",0,1,NA,"Right","MacOS","No",2,2,"s",NA,"A: Closest to the entrance",1
20,"Male","Australia",1,1,"High Distinction","do them immediately","Semester","Third year","DATA2902",20,"Always","Yes",92,7,"No","With parent(s) and/or sibling(s)","Part time",26,6,NA,8,7,100,"10-15",5,"Instagram","No","Yes",2,0,"medium-rare","Right","MacOS","Yes",5,8,NA,"A: Closest to the entrance","A: Closest to the entrance",4
20,"Male","China",2,2,"Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2902",15,NA,"Yes",75,8,"No","Alone","Self employed",5,2,"omnivorous",7,1,250,"0",3,"Instagram","Yes","Yes",1,0,"medium-rare","Right","MacOS","Yes",7,7,"l","A: Closest to the entrance","B: Middle",2
19,NA,"India",3,6,"High Distinction","cram at the last second","Semester","Second year","DATA2002",30,"Always","Yes",73,8,"Yes","With parent(s) and/or sibling(s)","Casual",15,6,NA,8,7,30,"0",4,"Instagram","Yes","Yes",1,0,NA,"Right","Windows","Yes",3,8,"z","C: Furthest from the entrance","C: Furthest from the entrance",7
19,"Female","Malaysia",3,5,"High Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2902",21,"Always","Yes",85,8,"Yes","With parent(s) and/or sibling(s)","I don't currently work",0,2,"omnivorous",8,10,20,"0",6,"Instagram","No","No",2,0,"well done","Right","MacOS","No",2,2,"g","C: Furthest from the entrance","B: Middle",30
NA,"Male",NA,1,NA,"High Distinction","do them immediately","Semester","Second year","DATA2902",NA,"Always","Yes",NA,NA,"No","With parent(s) and/or sibling(s)","Part time",NA,2,"omnivorous",8,4,NA,"0",2,"None","No","No",NA,NA,NA,"Right","MacOS","Yes",1,NA,NA,NA,"A: Closest to the entrance",4
20,"Male","Australia",1,1,"Distinction","draw up a schedule and work through it in planned stages","Semester","Second year","DATA2002",20,"Always","Yes",80,9,"No","With parent(s) and/or sibling(s)","Contractor",10,7,"omnivorous",6,7,100,"<5",8,"Instagram","Yes","Yes",2,0,"medium-rare","Left","MacOS","No",7,2,"p","C: Furthest from the entrance","C: Furthest from the entrance",2
